지역명,규모구분,연도,월,분양가격(제곱미터),제곱미터당분양가격,평당분양가격,전용면적
전남,전용면적 60제곱미터이하,2015,10,1999,1999.0,6596.7,60
전남,전용면적 60제곱미터초과 85제곱미터이하,2015,10,1922,1922.0,6342.599999999999,60~85
전남,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2262,2262.0,7464.599999999999,85~102
전남,전용면적 102제곱미터초과,2015,10,2292,2292.0,7563.599999999999,102~
경북,모든면적,2015,10,"2,148",2148.0,7088.4,모든면적
경북,전용면적 60제곱미터이하,2015,10,2204,2204.0,7273.2,60
경북,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2145,2145.0,7078.5,60~85
경북,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2308,2308.0,7616.4,85~102
경북,전용면적 102제곱미터초과,2015,10,2222,2222.0,7332.599999999999,102~
경남,모든면적,2015,10,"2,291",2291.0,7560.299999999999,모든면적
경남,전용면적 60제곱미터이하,2015,10,2239,2239.0,7388.7,60
경남,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2305,2305.0,7606.5,60~85
경남,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2890,2890.0,9537.0,85~102
경남,전용면적 102제곱미터초과,2015,10,3014,3014.0,9946.199999999999,102~
제주,모든면적,2015,10,"2,232",2232.0,7365.599999999999,모든면적
제주,전용면적 60제곱미터이하,2015,10,  ,,,60
제주,전용면적 60제곱미터초과 85제곱미터이하,2015,10,2225,2225.0,7342.5,60~85
제주,전용면적 85제곱미터초과 102제곱미터이하,2015,10,2583,2583.0,8523.9,85~102
제주,전용면적 102제곱미터초과,2015,10,2574,2574.0,8494.199999999999,102~
서울,모든면적,2015,11,"6,050",6050.0,19965.0,모든면적
서울,전용면적 60제곱미터이하,2015,11,6320,6320.0,20856.0,60
서울,전용면적 60제곱미터초과 85제곱미터이하,2015,11,5964,5964.0,19681.2,60~85
서울,전용면적 85제곱미터초과 102제곱미터이하,2015,11,7092,7092.0,23403.6,85~102
서울,전용면적 102제곱미터초과,2015,11,6551,6551.0,21618.3,102~
인천,모든면적,2015,11,"3,184",3184.0,10507.199999999999,모든면적
인천,전용면적 60제곱미터이하,2015,11,3328,3328.0,10982.4,60
인천,전용면적 60제곱미터초과 85제곱미터이하,2015,11,3119,3119.0,10292.699999999999,60~85
인천,전용면적 85제곱미터초과 102제곱미터이하,2015,11,3545,3545.0,11698.5,85~102
인천,전용면적 102제곱미터초과,2015,11,3408,3408.0,11246.4,102~
경기,모든면적,2015,11,"3,098",3098.0,10223.4,모든면적
경기,전용면적 60제곱미터이하,2015,11,3079,3079.0,10160.699999999999,60
경기,전용면적 60제곱미터초과 85제곱미터이하,2015,11,3202,3202.0,10566.599999999999,60~85
경기,전용면적 85제곱미터초과 102제곱미터이하,2015,11,3391,3391.0,11190.3,85~102
경기,전용면적 102제곱미터초과,2015,11,3724,3724.0,12289.199999999999,102~
부산,모든면적,2015,11,"3,131",3131.0,10332.3,모든면적
부산,전용면적 60제곱미터이하,2015,11,2982,2982.0,9840.6,60
부산,전용면적 60제곱미터초과 85제곱미터이하,2015,11,3037,3037.0,10022.1,60~85
부산,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2957,2957.0,9758.1,85~102
부산,전용면적 102제곱미터초과,2015,11,3739,3739.0,12338.699999999999,102~
대구,모든면적,2015,11,"2,749",2749.0,9071.699999999999,모든면적
대구,전용면적 60제곱미터이하,2015,11,2503,2503.0,8259.9,60
대구,전용면적 60제곱미터초과 85제곱미터이하,2015,11,2806,2806.0,9259.8,60~85
대구,전용면적 85제곱미터초과 102제곱미터이하,2015,11,2557,2557.0,8438.1,85~102
대구,전용면적 102제곱미터초과,2015,11,2743,2743.0,9051.9,102~
